no_xeno_words,no_xeno_counts,xeno_words,xeno_counts
go back,176,illegal alien,171
new mexico,122,go back,165
gon na,102,violent foreigners,144
send back,100,criminal foreigners,118
build wall,87,criminal migrant,87
look like,86,back country,84
mexico,77,send back,82
wan na,69,country,68
wall,69,alien migrant,61
back,60,back come,49
back come,60,illegal immigrants,43
feel like,59,illegal immigration,37
come back,59,sendthemback,37
spread virus,59,chinaliedpeopledied,36
back home,53,illegal immigrant,34
lol,49,violent migrants,31
one,46,come,28
covid,46,rapist migrant,26
speak english,46,foreigners,25
wear mask,44,back,24
