no_xeno_words,no_xeno_counts,xeno_words,xeno_counts
get,1013,country,437
like,908,illegal,402
go,883,back,349
people,842,foreigners,314
back,732,go,305
say,676,alien,250
amp,656,people,239
make,601,criminal,236
one,583,get,209
poor,572,like,203
trump,546,violent,200
chinese,543,come,198
know,515,migrant,195
wall,514,china,190
covid,492,want,174
think,460,us,154
mexico,445,need,136
come,431,trump,131
racist,425,say,129
work,422,send,129
